;Marki;Przychód_suma;Przychód_średnia;Przychód_mediana;Rabaty_suma;Rabaty_średnia;Rabaty_mediana
0;ASUS;2398576;20326.92;13099.0;148500;1258.47;0.0
1;Apple;31728412;81985.56;71500.0;1134611;2931.81;0.0
2;GIONEE;920427;7135.09;6660.0;88174;683.52;0.0
3;Google Pixel;1780364;61391.86;70000.0;17990;620.34;0.0
4;HTC;1557291;28314.38;21990.0;0;0.0;0.0
5;IQOO;185950;37190.0;37990.0;19000;3800.0;3000.0
6;Infinix;1674919;11092.18;10999.0;139812;925.91;0.0
7;LG;1912995;19323.18;13990.0;301415;3044.6;0.0
8;Lenovo;1220145;10083.84;8499.0;32267;266.67;0.0
9;Motorola;1717534;16357.47;12999.0;454009;4323.9;0.0
10;Nokia;2008304;9428.66;7490.0;158841;745.73;0.0
11;OPPO;4825727;18560.49;15990.0;533202;2050.78;110.0
12;POCO;1248426;16870.62;15999.0;193500;2614.86;3000.0
13;SAMSUNG;17469003;24296.25;16000.0;1823227;2535.78;0.0
14;Xiaomi;3354498;16941.91;13900.0;180446;911.34;0.0
15;realme;5361667;16396.54;13999.0;471403;1441.6;1200.0
16;vivo;2959414;23866.24;19694.5;210386;1696.66;0.0
